Tick;Step;DateTime;Age;Alive;AmountToSpawn;ConsumptionRate;Fruit;GrowRate;LifePoints;MatureAge;MaxAge;Name;ProductionRate;SpreadRate;State;Wood;X;Y;ID
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3426;0.1;100;3650;98915;BrazilNutTree;1;0.0003;Juvenile;7191;77;5;76d02af2-0995-4634-abca-fbd36f97531f
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;223;0.5;100;1825;10585;PalmTree;0.6;0.0001;Juvenile;341;31;0;5ef3e771-a40c-42fb-9991-3ca4357ed867
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1890;0.1;100;3650;170455;BrazilNutTree;1;0.0003;Juvenile;8376;76;6;a39987a2-fb6c-49a9-86a3-6169ec6c2b86
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;636;0.5;100;1825;10220;PalmTree;0.6;0.0001;Juvenile;989;95;2;dc949f5e-0f48-45f4-9456-9ccc29338cdd
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4210;1;100;2920;10950;NutmegTree;1.3;0.0002;Juvenile;2637;110;7;ec5dc173-6240-4c95-8837-561158c8f54d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5544;1;100;2920;12410;NutmegTree;1.3;0.0002;Juvenile;5172;50;9;41c56038-42d9-4e87-b088-8bc29be8b688
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;67;0.5;100;1825;6935;PalmTree;0.6;0.0001;Juvenile;680;115;0;8b3da08a-aaea-4295-9531-4b29e08a0441
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;253;0.5;100;1825;8395;PalmTree;0.6;0.0001;Juvenile;517;9;0;2f3e5467-303a-4240-8418-f830fb2a9603
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3227;1;100;2920;16425;NutmegTree;1.3;0.0002;Juvenile;10092;59;7;cd3940b3-a4c4-42cb-8570-bca17d099202
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;1298;1;100;2920;19710;NutmegTree;1.3;0.0002;Juvenile;292;96;7;32046a99-2010-48e3-9bb3-0dc921577c40
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4382;1;100;2920;20075;NutmegTree;1.3;0.0002;Juvenile;9850;94;7;a6e7e5ff-4f69-4df0-9708-20ae04fc51f7
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5482;1;100;2920;18615;NutmegTree;1.3;0.0002;Juvenile;3716;37;8;525886d5-a553-4f51-83e5-50e02bdfd842
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1249;0.1;100;3650;143810;BrazilNutTree;1;0.0003;Juvenile;5562;67;4;e8c5161a-f91a-4883-8a4f-250347eab5e0
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3529;1;100;2920;16790;NutmegTree;1.3;0.0002;Juvenile;8149;51;9;387b33ff-43e3-4509-923a-8fadf87c5c06
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;424;0.1;100;3650;173375;BrazilNutTree;1;0.0003;Juvenile;1621;27;5;f3fcb398-b80d-4e7c-a6d4-b9d2a28eea32
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;762;0.5;100;1825;6935;PalmTree;0.6;0.0001;Juvenile;939;1;0;414546c5-290c-4b8c-8177-c81823ae889f
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;395;0.5;100;1825;8030;PalmTree;0.6;0.0001;Juvenile;965;17;0;2cfb7c6e-0439-41a1-b740-666dec2578ab
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;810;0.1;100;3650;105850;BrazilNutTree;1;0.0003;Juvenile;3817;105;3;f81f2eb8-5765-4d03-bad2-5260b697ac24
